addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
"충청북도 청주시 흥덕구 가경동","1438","33","","A04","A0401","A04010200","1433504","38","20111111014944","","","","127.4341171334","36.6286485111","6","20241023200025","10","","가경 터미널시장","28398"
"전라남도 진도군 고군면 신비의바닷길 47","(고군면)","38","0","A01","A0101","A01011200","126273","12","20031107090000","http://tong.visitkorea.or.kr/cms/resource/36/3079736_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/36/3079736_image3_1.jpg","Type3","126.3547412438","34.4354594945","6","20240604170101","21","","가계해수욕장","58911"
"서울특별시 종로구 평창30길 28","(평창동)","1","0","A02","A0206","A02060500","129854","14","20071106103314","http://tong.visitkorea.or.kr/cms/resource/19/1570619_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/19/1570619_image3_1.jpg","Type3","126.9751811398","37.6122099878","6","20240828180420","23","","가나아트센터","03004"
"경기도 양주시 장흥면 권율로 117","","31","0","A02","A0202","A02020600","129194","12","20060807090000","http://tong.visitkorea.or.kr/cms/resource/46/2010746_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/46/2010746_image3_1.jpg","Type3","126.9497496852","37.7254519094","6","20241011153024","18","","가나아트파크","11520"
"경기도 여주시 가남읍 대명산길 98","","31","0","A02","A0202","A02020700","2777865","12","20211123182854","http://tong.visitkorea.or.kr/cms/resource/71/2777971_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/71/2777971_image2_1.jpg","Type3","127.5349142281","37.2017093544","6","20240925105259","20","","가남체육공원","12662"
"서울특별시 강남구 언주로167길 35","","1","","A05","A0502","A05020400","2869760","39","20221018170906","http://tong.visitkorea.or.kr/cms/resource/54/2869754_image2_1.JPG","http://tong.visitkorea.or.kr/cms/resource/54/2869754_image3_1.JPG","Type3","127.0302729961","37.5264209476","6","20240226140148","1","","가담","06022"
"서울특별시 송파구 충민로 66","","1","","A04","A0401","A04010600","732484","38","20090511234754","http://tong.visitkorea.or.kr/cms/resource/78/1920578_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/78/1920578_image3_1.jpg","Type3","127.1229354097","37.4770061292","6","20230719151847","18","","가든파이브라이프(Garden5life)","05838"
"서울특별시 송파구 송파대로28길 5","(가락동)","1","","B02","B0201","B02010100","142785","32","20040426090000","","","","127.1166298703","37.4966565128","6","20241101172817","18","02-400-6641~3","가락관광호텔","05719"
"서울특별시 송파구 양재대로 932","(가락동)","1","","A04","A0401","A04010200","132215","38","20031117090000","http://tong.visitkorea.or.kr/cms/resource/84/1920584_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/84/1920584_image3_1.jpg","Type3","127.1109831778","37.4960925880","6","20240523141919","18","02-3435-1000","가락농수산물종합도매시장","05699"
"충청북도 제천시 수산면 월악로 2970","","33","","A05","A0502","A05020100","2013680","39","20150706190209","http://tong.visitkorea.or.kr/cms/resource/31/2013731_image2_1.JPG","http://tong.visitkorea.or.kr/cms/resource/31/2013731_image2_1.JPG","Type3","128.1772085952","36.9329354680","6","20240718093207","7","043-651-2264","가람","27220"
"경기도 양주시 광적면 가납리 738-29","","31","","A04","A0401","A04010200","2748296","38","20210924015015","http://tong.visitkorea.or.kr/cms/resource/71/2748271_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/71/2748271_image2_1.jpg","Type3","126.9841492836","37.8238327341","6","20240605092301","18","","가래비시장(가납시장)",""
"서울특별시 구로구 우마3길 19","(가리봉동)","1","","A04","A0401","A04010200","2758198","38","20211018232131","","","","126.8893759759","37.4817874979","6","20230410104722","7","","가리봉시장","08387"
"강원특별자치도 홍천군 두촌면 가리산길23번길 7","","32","","A05","A0502","A05020100","608471","39","20080813003515","","","","128.0138244871","37.8381278478","6","20240909152117","16","033-435-2704","가리산막국수","25164"
"경기도 양주시 장흥면 북한산로 1028","","31","","A05","A0502","A05020100","2525533","39","20171226190132","http://tong.visitkorea.or.kr/cms/resource/27/2525527_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/27/2525527_image2_1.jpg","Type3","126.9712897230","37.7135870113","6","20240820162603","18","031-861-4800","가마골백숙","11523"
"전라남도 영광군 홍농읍 가마미로 355","","38","0","A01","A0101","A01011200","126289","12","20030707090000","http://tong.visitkorea.or.kr/cms/resource/63/3018763_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/63/3018763_image3_1.jpg","Type3","126.4090769892","35.3997293920","6","20240604165135","16","","가마미해수욕장","57000"
"광주광역시 서구 상무대로 1104-26","","5","","A05","A0502","A05020300","728386","39","20090427221226","http://tong.visitkorea.or.kr/cms/resource/74/1892774_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/74/1892774_image3_1.jpg","Type3","126.8838215936","35.1525153326","6","20240923105934","5","062-352-7711","가매일식","61981"
"인천광역시 부평구 평천로 394 (삼산동)","6층","2","","A05","A0502","A05020400","600680","39","20080801014818","http://tong.visitkorea.or.kr/cms/resource/71/1884871_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/71/1884871_image3_1.jpg","Type3","126.7340585846","37.5172806109","6","20240724172320","6","032-512-8552","가보","21323"
"경기도 용인시 수지구 수풍로 103","","31","","A05","A0502","A05020100","811327","39","20090928190607","","","","127.0930338609","37.3330083993","6","20241021104712","23","031-276-3880","가보정 4관","16821"
"경기도 수원시 팔달구 장다리로 282","","31","","A05","A0502","A05020100","602895","39","20080804223022","http://tong.visitkorea.or.kr/cms/resource/30/817030_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/30/817030_image3_1.jpg","Type3","127.0286635731","37.2742501647","6","20240118134844","13","1600-3883","가보정갈비","16481"
"경기도 평택시 평택5로76번길 18-10","","31","","B02","B0201","B02010100","143017","32","20030806090000","http://tong.visitkorea.or.kr/cms/resource/83/1942883_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/83/1942883_image3_1.jpg","Type3","127.1128582139","36.9932008224","6","20231025133555","28","0507-1396-7702","가보호텔","17885"
"경상남도 하동군 화개로 13","","36","","B02","B0201","B02010900","2950408","32","20230217152211","http://tong.visitkorea.or.kr/cms/resource/67/3009367_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/67/3009367_image3_1.jpg","Type1","127.6231054334","35.1897988120","6","20230912142129","18","010-3889-6663","가비원모텔[한국관광 품질인증/Korea Quality]","52303"
"경상남도 양산시 동면 가산리 799","","36","0","A02","A0202","A02020700","2784347","12","20211201193109","http://tong.visitkorea.or.kr/cms/resource/72/2784372_image2_1.JPG","http://tong.visitkorea.or.kr/cms/resource/72/2784372_image2_1.JPG","Type3","129.0178748959","35.2950648080","6","20240930153206","10","","가산수변공원",""
"전라남도 영암군 영암읍 기찬랜드로 19-10","","38","0","A02","A0202","A02020600","2732489","12","20210810225939","http://tong.visitkorea.or.kr/cms/resource/96/3382096_image2_1.JPG","http://tong.visitkorea.or.kr/cms/resource/96/3382096_image3_1.JPG","Type3","126.6856118867","34.7919693222","6","20241010193748","17","","가야금산조테마공원","58420"
"경상남도 김해시 인제로 368","(삼방동)","36","0","A02","A0202","A02020600","2714140","12","20210420194949","","","","128.9024609712","35.2582112598","6","20230808165425","4","","가야랜드","50811"
"경상북도 성주군 수륜면 가야산식물원길 49","","35","0","A01","A0101","A01010700","129212","12","20060828090000","http://tong.visitkorea.or.kr/cms/resource/99/2724199_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/99/2724199_image3_1.jpg","Type3","128.1418573045","35.8031276100","6","20230802191834","10","","가야산 야생화식물원","40063"
"충청남도 서산시 해미면 산수리","","34","0","A01","A0101","A01010400","125822","12","20030930090000","http://tong.visitkorea.or.kr/cms/resource/92/3055092_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/92/3055092_image3_1.jpg","Type3","126.6091060355","36.7039864327","6","20240730111418","7","","가야산(서산)","31961"
"경상북도 성주군 수륜면 가야산식물원길 21","","35","0","A02","A0202","A02020700","2733515","12","20210813004227","","","","128.1410602092","35.8010639410","6","20240913154817","10","","가야산역사신화테마관","40063"
"경상남도 김해시 봉황동","","36","0","A02","A0203","A02030600","250121","12","20060728090000","","","","128.8725475322","35.2355465857","6","20240612091307","4","","가야의 거리","50918"
"부산광역시 연제구 월드컵대로145번길 32","","6","","A05","A0502","A05020100","849929","39","20091030211645","","","","129.0798725132","35.1851949389","6","20240912111529","13","051-865-8017","가야할매 밀면","47540"
"경상북도 성주군 수륜면 가야산식물원길 52","","35","","B02","B0201","B02010100","136485","32","20030612090000","","","","128.1426627919","35.8030359683","6","20241023141727","10","054-931-3500","가야호텔","40063"
"전라남도 강진군 도암면 월곶로 473","(도암면)","38","0","A01","A0101","A01011300","2024432","12","20150820235050","","","","126.7726522891","34.5283725869","6","20240924022635","1","","가우도","59251"
"전라남도 강진군 도암면 신기리","","38","0","A02","A0205","A02050100","2514003","12","20171103004852","http://tong.visitkorea.or.kr/cms/resource/89/3377889_image2_1.JPG","http://tong.visitkorea.or.kr/cms/resource/89/3377889_image3_1.JPG","Type3","126.7717356912","34.5288669609","6","20240930172738","1","","가우도 출렁다리","59251"
"강원특별자치도 동해시 지가동 77-6","","32","0","A01","A0101","A01010500","2714889","12","20210429222624","http://tong.visitkorea.or.kr/cms/resource/61/3344961_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/61/3344961_image3_1.jpg","Type3","129.1070564038","37.4736521046","6","20240808144408","3","","가원습지 생태자연공원",""
"경상북도 문경시 가은읍 대야로 2475","","35","","A04","A0401","A04010200","2756644","38","20211013233233","","","","128.0619048644","36.6468411490","6","20240717220143","7","","가은아자개장터","36996"
"전라남도 장성군 북하면 백양로 1102-1","","38","","A05","A0502","A05020100","1985801","39","20150124022734","","","","126.8791262589","35.4249205487","6","20241015105604","19","061-392-7401","가을빛묵은지","57205"
"경상남도 창원시 성산구 대정로35번길 4-1","(가음동)","36","","A04","A0401","A04010200","2783811","38","20211130231944","http://tong.visitkorea.or.kr/cms/resource/11/2799911_image2_1.JPG","http://tong.visitkorea.or.kr/cms/resource/11/2799911_image2_1.JPG","Type3","128.6981523904","35.2078909442","6","20240708091359","16","","가음정시장","51492"
"경기도 가평군 청평면 북한강로 1549","","31","0","A02","A0206","A02060500","130611","14","20050628090000","","","","127.3794096039","37.6604061569","6","20240611170832","1","","가일미술관","12458"
"울산광역시 남구 대공원로 84","(옥동)","7","0","A02","A0203","A02030400","130523","14","20041008090000","http://tong.visitkorea.or.kr/cms/resource/93/3341793_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/93/3341793_image3_1.jpg","Type3","129.2905556337","35.5319960593","6","20240805000001","2","","가족문화센터","44660"
"경상남도 남해군 삼동면 죽방로 495","","36","","B02","B0201","B02010700","1351349","32","20110805005937","","","","127.9675765215","34.8169300517","6","20240612152137","5","055-867-4892","가족사랑바다체험펜션","52443"
"인천광역시 서구 장고개로337번길 18-19","(가좌동)","2","","A04","A0401","A04010200","2768173","38","20211104200341","http://tong.visitkorea.or.kr/cms/resource/54/2781354_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/54/2781354_image2_1.jpg","Type3","126.6834110718","37.4941962868","6","20240719155711","7","","가좌시장","22810"
"대구광역시 달성군 가창면 가창로 1099","(가창면)","4","0","A02","A0203","A02030600","2034446","12","20151021001307","http://tong.visitkorea.or.kr/cms/resource/70/1876170_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/70/1876170_image3_1.jpg","Type3","128.6222232980","35.8027142041","6","20241018165914","3","","가창 찐빵 골목","42933"
"경상남도 남해군 남면 홍현리 남면로 679번길 21","","36","0","B02","B0201","B02011000","127778","32","20040129090000","http://tong.visitkorea.or.kr/cms/resource/96/2703896_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/96/2703896_image2_1.jpg","Type3","127.8943963083","34.7279803963","6","20241031145939","5","","가천 다랭이마을","668-861,21"
"인천광역시 연수구 청량로102번길 40-9","","2","0","A02","A0206","A02060100","130105","14","20060724090000","","","","126.6576044255","37.4182241030","6","20240617162754","8","032-833-4747","가천박물관","21942"
"서울특별시 종로구 창경궁로 296-12","(혜화동)","1","0","A02","A0206","A02060900","130233","14","20071106104803","http://tong.visitkorea.or.kr/cms/resource/38/1894738_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/38/1894738_image3_1.jpg","Type3","127.0043347827","37.5859580079","6","20240912185351","23","","가톨릭대학교 성신교정도서관","03083"
"제주특별자치도 서귀포시 대정읍 가파리","513","39","","A02","A0205","A02050600","3344437","12","20240807154450","http://tong.visitkorea.or.kr/cms/resource/99/3344399_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/99/3344399_image3_1.jpg","Type3","126.2688165585","33.1688017961","6","20241016165918","3","","가파도 소망전망대","63514"
"경기도 가평군 가평읍 장터2길 10","","31","","A04","A0401","A04010200","132785","38","20070508090000","","","","127.5149062186","37.8298417247","6","20240902092215","1","가평군청 031-580-2114","가평 잣고을 전통시장","12419"
"경기도 가평군 북면 가화로 2369-19","","31","","B02","B0201","B02010900","1979670","32","20141226184946","http://tong.visitkorea.or.kr/cms/resource/37/1979637_image2_1.JPG","http://tong.visitkorea.or.kr/cms/resource/37/1979637_image2_1.JPG","Type3","127.4766116592","37.9524878464","6","20241016160452","1","031-581-2256~7","가평 하이랜드","12401"
"경기도 가평군 가평읍 장터2길 10","","31","","A04","A0401","A04010100","131982","38","20020417090000","http://tong.visitkorea.or.kr/cms/resource/13/2364413_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/13/2364413_image3_1.jpg","Type3","127.5148701128","37.8297750647","6","20240528143909","1","","가평5일장 (5, 10일)","12419"
